gamePk,date,season,homeAbbr,awayAbbr,homeStarterId,awayStarterId,home_starter_era_pre_game,away_starter_era_pre_game,home_starter_fip_pre_game,away_starter_fip_pre_game,home_starter_k_pct_pre_game,away_starter_k_pct_pre_game,home_starter_bb_pct_pre_game,away_starter_bb_pct_pre_game,home_starter_k_minus_bb_pre_game,away_starter_k_minus_bb_pre_game,home_starter_whip_pre_game,away_starter_whip_pre_game,home_starter_hr_per_9_pre_game,away_starter_hr_per_9_pre_game,home_starter_days_rest,away_starter_days_rest,home_starter_hand,away_starter_hand,starter_era_diff,starter_fip_diff,starter_k_minus_bb_diff,starter_whip_diff,starter_hr_per_9_diff,starter_rest_diff,home_starter_missing,away_starter_missing
263816,2010-04-04,2010,BOS,NYY,277417.0,282332.0,,,,,,,,,,,,,,,,,R,L,,,,,,,1,1
263809,2010-04-05,2010,ATL,CHC,117955.0,407296.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263810,2010-04-05,2010,CHW,CLE,279824.0,150414.0,,,,,,,,,,,,,,,,,L,R,,,,,,,1,1
263811,2010-04-05,2010,MIL,COL,451596.0,434622.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263812,2010-04-05,2010,KCR,DET,425844.0,434378.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263813,2010-04-05,2010,NYM,MIA,276371.0,435178.0,,,,,,,,,,,,,,,,,L,R,,,,,,,1,1
263814,2010-04-05,2010,PIT,LAD,435043.0,218894.0,,,,,,,,,,,,,,,,,L,R,,,,,,,1,1
263815,2010-04-05,2010,ANA,MIN,450308.0,435044.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263817,2010-04-05,2010,WSN,PHI,458709.0,136880.0,,,,,,,,,,,,,,,,,L,R,,,,,,,1,1
263818,2010-04-05,2010,ARI,SDP,429717.0,279782.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263819,2010-04-05,2010,OAK,SEA,282656.0,433587.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263820,2010-04-05,2010,CIN,STL,421685.0,112020.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263821,2010-04-05,2010,TEX,TOR,444857.0,451788.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
263822,2010-04-05,2010,HOU,SFG,400061.0,453311.0,,,,,,,,,,,,,,,,,R,R,,,,,,,1,1
