gamePk,season,date,home_team,away_team,result_home_win,home_win_pct_pre_game,away_win_pct_pre_game,home_run_diff_per_game_pre_game,away_run_diff_per_game_pre_game,home_runs_scored_per_game_pre_game,away_runs_scored_per_game_pre_game,home_runs_allowed_per_game_pre_game,away_runs_allowed_per_game_pre_game,home_last_10_win_pct,away_last_10_win_pct,home_last_10_run_diff_per_game,away_last_10_run_diff_per_game,home_games_played_to_date,away_games_played_to_date,home_field_flag
263816,2010,2010-04-04,BOS,NYY,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263809,2010,2010-04-05,ATL,CHC,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263810,2010,2010-04-05,CHW,CLE,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263811,2010,2010-04-05,MIL,COL,0,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263812,2010,2010-04-05,KCR,DET,0,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263813,2010,2010-04-05,NYM,MIA,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263814,2010,2010-04-05,PIT,LAD,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263815,2010,2010-04-05,ANA,MIN,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263817,2010,2010-04-05,WSN,PHI,0,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263818,2010,2010-04-05,ARI,SDP,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263819,2010,2010-04-05,OAK,SEA,0,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263820,2010,2010-04-05,CIN,STL,0,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263821,2010,2010-04-05,TEX,TOR,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263822,2010,2010-04-05,HOU,SFG,0,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263823,2010,2010-04-06,TBR,BAL,1,0.5,0.5,0.0,0.0,4.4,4.4,4.4,4.4,0.5,0.5,0.0,0.0,0,0,1.0
263824,2010,2010-04-06,MIL,COL,1,0.0,1.0,-2.0,2.0,3.0,5.0,5.0,3.0,0.0,1.0,-2.0,2.0,1,1,1.0
263825,2010,2010-04-06,ANA,MIN,0,1.0,0.0,3.0,-3.0,6.0,3.0,3.0,6.0,1.0,0.0,3.0,-3.0,1,1,1.0
263826,2010,2010-04-06,ARI,SDP,0,1.0,0.0,3.0,-3.0,6.0,3.0,3.0,6.0,1.0,0.0,3.0,-3.0,1,1,1.0
263827,2010,2010-04-06,OAK,SEA,1,0.0,1.0,-2.0,2.0,3.0,5.0,5.0,3.0,0.0,1.0,-2.0,2.0,1,1,1.0
263828,2010,2010-04-06,HOU,SFG,0,0.0,1.0,-3.0,3.0,2.0,5.0,5.0,2.0,0.0,1.0,-3.0,3.0,1,1,1.0
263837,2010,2010-04-06,BOS,NYY,0,1.0,0.0,2.0,-2.0,9.0,7.0,7.0,9.0,1.0,0.0,2.0,-2.0,1,1,1.0
263829,2010,2010-04-07,TBR,BAL,1,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,1.0,0.0,1.0,-1.0,1,1,1.0
263830,2010,2010-04-07,ATL,CHC,1,1.0,0.0,11.0,-11.0,16.0,5.0,5.0,16.0,1.0,0.0,11.0,-11.0,1,1,1.0
263831,2010,2010-04-07,CHW,CLE,0,1.0,0.0,6.0,-6.0,6.0,0.0,0.0,6.0,1.0,0.0,6.0,-6.0,1,1,1.0
