gamePk,date,season,home_team,away_team,result_home_win,home_games_played_to_date,away_games_played_to_date,home_win_pct_pre_game,away_win_pct_pre_game,home_run_diff_per_game_pre_game,away_run_diff_per_game_pre_game,home_runs_scored_per_game_pre_game,away_runs_scored_per_game_pre_game,home_runs_allowed_per_game_pre_game,away_runs_allowed_per_game_pre_game,home_last_10_win_pct,away_last_10_win_pct,home_last_10_run_diff_per_game,away_last_10_run_diff_per_game,home_field_flag,home_current_win_streak_pre_game,away_current_win_streak_pre_game,home_rest_days,away_rest_days,home_used_fallback,away_used_fallback,home_last_source_date,away_last_source_date
263816,2010-04-04,2010,BOS,NYY,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263809,2010-04-05,2010,ATL,CHC,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263810,2010-04-05,2010,CHW,CLE,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263811,2010-04-05,2010,MIL,COL,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263812,2010-04-05,2010,KCR,DET,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263813,2010-04-05,2010,NYM,MIA,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263814,2010-04-05,2010,PIT,LAD,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263815,2010-04-05,2010,ANA,MIN,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263817,2010-04-05,2010,WSN,PHI,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263818,2010-04-05,2010,ARI,SDP,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263819,2010-04-05,2010,OAK,SEA,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263820,2010-04-05,2010,CIN,STL,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263821,2010-04-05,2010,TEX,TOR,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263822,2010-04-05,2010,HOU,SFG,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263823,2010-04-06,2010,TBR,BAL,1,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0,True,True,,
263824,2010-04-06,2010,MIL,COL,1,1,1,0.0,1.0,-2.0,2.0,3.0,5.0,5.0,3.0,0.0,1.0,-2.0,2.0,1,-1,1,1,1,False,False,2010-04-05,2010-04-05
263825,2010-04-06,2010,ANA,MIN,0,1,1,1.0,0.0,3.0,-3.0,6.0,3.0,3.0,6.0,1.0,0.0,3.0,-3.0,1,1,-1,1,1,False,False,2010-04-05,2010-04-05
263826,2010-04-06,2010,ARI,SDP,0,1,1,1.0,0.0,3.0,-3.0,6.0,3.0,3.0,6.0,1.0,0.0,3.0,-3.0,1,1,-1,1,1,False,False,2010-04-05,2010-04-05
263827,2010-04-06,2010,OAK,SEA,1,1,1,0.0,1.0,-2.0,2.0,3.0,5.0,5.0,3.0,0.0,1.0,-2.0,2.0,1,-1,1,1,1,False,False,2010-04-05,2010-04-05
263828,2010-04-06,2010,HOU,SFG,0,1,1,0.0,1.0,-3.0,3.0,2.0,5.0,5.0,2.0,0.0,1.0,-3.0,3.0,1,-1,1,1,1,False,False,2010-04-05,2010-04-05
263837,2010-04-06,2010,BOS,NYY,0,1,1,1.0,0.0,2.0,-2.0,9.0,7.0,7.0,9.0,1.0,0.0,2.0,-2.0,1,1,-1,2,2,False,False,2010-04-04,2010-04-04
263829,2010-04-07,2010,TBR,BAL,1,1,1,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,1.0,0.0,1.0,-1.0,1,1,-1,1,1,False,False,2010-04-06,2010-04-06
263830,2010-04-07,2010,ATL,CHC,1,1,1,1.0,0.0,11.0,-11.0,16.0,5.0,5.0,16.0,1.0,0.0,11.0,-11.0,1,1,-1,2,2,False,False,2010-04-05,2010-04-05
263831,2010-04-07,2010,CHW,CLE,0,1,1,1.0,0.0,6.0,-6.0,6.0,0.0,0.0,6.0,1.0,0.0,6.0,-6.0,1,1,-1,2,2,False,False,2010-04-05,2010-04-05
263832,2010-04-07,2010,MIL,COL,1,2,2,0.5,0.5,0.0,0.0,5.0,5.0,5.0,5.0,0.5,0.5,0.0,0.0,1,1,-1,1,1,False,False,2010-04-06,2010-04-06
263833,2010-04-07,2010,KCR,DET,1,1,1,0.0,1.0,-4.0,4.0,4.0,8.0,8.0,4.0,0.0,1.0,-4.0,4.0,1,-1,1,2,2,False,False,2010-04-05,2010-04-05
263834,2010-04-07,2010,NYM,MIA,0,1,1,1.0,0.0,6.0,-6.0,7.0,1.0,1.0,7.0,1.0,0.0,6.0,-6.0,1,1,-1,2,2,False,False,2010-04-05,2010-04-05
263835,2010-04-07,2010,PIT,LAD,1,1,1,1.0,0.0,6.0,-6.0,11.0,5.0,5.0,11.0,1.0,0.0,6.0,-6.0,1,1,-1,2,2,False,False,2010-04-05,2010-04-05
263836,2010-04-07,2010,ANA,MIN,0,2,2,0.5,0.5,0.5,-0.5,4.5,4.0,4.0,4.5,0.5,0.5,0.5,-0.5,1,-1,1,1,1,False,False,2010-04-06,2010-04-06
263838,2010-04-07,2010,WSN,PHI,0,1,1,0.0,1.0,-10.0,10.0,1.0,11.0,11.0,1.0,0.0,1.0,-10.0,10.0,1,-1,1,2,2,False,False,2010-04-05,2010-04-05
263839,2010-04-07,2010,ARI,SDP,1,2,2,0.5,0.5,0.0,0.0,4.5,4.5,4.5,4.5,0.5,0.5,0.0,0.0,1,-1,1,1,1,False,False,2010-04-06,2010-04-06
263840,2010-04-07,2010,OAK,SEA,1,2,2,0.5,0.5,-0.5,0.5,2.5,3.0,3.0,2.5,0.5,0.5,-0.5,0.5,1,1,-1,1,1,False,False,2010-04-06,2010-04-06
263841,2010-04-07,2010,CIN,STL,0,1,1,0.0,1.0,-5.0,5.0,6.0,11.0,11.0,6.0,0.0,1.0,-5.0,5.0,1,-1,1,2,2,False,False,2010-04-05,2010-04-05
263842,2010-04-07,2010,TEX,TOR,0,1,1,1.0,0.0,1.0,-1.0,5.0,4.0,4.0,5.0,1.0,0.0,1.0,-1.0,1,1,-1,2,2,False,False,2010-04-05,2010-04-05
263843,2010-04-07,2010,HOU,SFG,0,2,2,0.0,1.0,-3.0,3.0,1.0,4.0,4.0,1.0,0.0,1.0,-3.0,3.0,1,-2,2,1,1,False,False,2010-04-06,2010-04-06
263851,2010-04-07,2010,BOS,NYY,0,2,2,0.5,0.5,0.0,0.0,6.5,6.5,6.5,6.5,0.5,0.5,0.0,0.0,1,-1,1,1,1,False,False,2010-04-06,2010-04-06
263844,2010-04-08,2010,TBR,BAL,0,2,2,1.0,0.0,1.0,-1.0,4.0,3.0,3.0,4.0,1.0,0.0,1.0,-1.0,1,2,-2,1,1,False,False,2010-04-07,2010-04-07
