feature,importance
starter_ip_diff,126
home_run_diff_per_game_pre_game,91
away_run_diff_per_game_pre_game,87
home_runs_scored_per_game_pre_game,72
bullpen_k_pct_diff,70
starter_k_pct_diff,70
away_last_10_run_diff_per_game,66
away_bb_pct_pre_game,66
starter_bb_pct_diff,65
away_whip_pre_game,64
home_bullpen_bb_pct_pre_game,63
starter_fip_diff,61
starter_k_minus_bb_pct_diff,59
away_bullpen_whip_pre_game,55
home_runs_allowed_per_game_pre_game,53
home_fip_pre_game,53
home_whip_pre_game,52
away_era_pre_game,52
away_bullpen_bb_pct_pre_game,51
away_bullpen_fip_pre_game,51
away_runs_scored_per_game_pre_game,51
away_k_pct_pre_game,50
bullpen_k_minus_bb_pct_diff,49
away_bullpen_era_pre_game,48
home_bullpen_pitches_last_5_days,48
home_bullpen_era_pre_game,48
away_recent_3_start_era,48
home_bb_pct_pre_game,47
away_win_pct_pre_game,47
home_era_pre_game,47
home_prior_ip,46
home_win_pct_pre_game,46
home_k_pct_pre_game,46
home_bullpen_whip_pre_game,45
home_hr_per_9_pre_game,45
home_bullpen_hr_per_9_pre_game,44
away_recent_3_start_whip,44
away_hr_per_9_pre_game,43
starter_games_started_diff,42
starter_recent_3_start_whip_diff,42
home_last_10_run_diff_per_game,41
bullpen_pitches_to_date_diff,41
home_k_minus_bb_pct_pre_game,41
away_bullpen_k_pct_pre_game,40
away_bullpen_pitches_last_1_day,40
starter_era_diff,40
starter_whip_diff,39
home_recent_3_start_whip,39
away_runs_allowed_per_game_pre_game,39
away_bullpen_k_minus_bb_pct_pre_game,38
home_recent_3_start_era,38
home_bullpen_pitches_last_1_day,38
bullpen_ip_to_date_diff,37
home_bullpen_ip_to_date,36
bullpen_ip_last_3_days_diff,36
away_prior_ip,36
bullpen_whip_diff,36
starter_hr_per_9_diff,36
home_bullpen_fip_pre_game,35
away_k_minus_bb_pct_pre_game,35
away_bullpen_pitches_last_5_days,35
bullpen_bb_pct_diff,35
bullpen_fip_diff,34
starter_recent_3_start_era_diff,34
home_bullpen_k_pct_pre_game,34
home_current_win_streak_pre_game,33
bullpen_pitches_last_3_days_diff,33
home_bullpen_pitches_last_3_days,32
home_bullpen_pitches_to_date,31
away_fip_pre_game,31
away_bullpen_hr_per_9_pre_game,30
away_bullpen_ip_last_3_days,30
home_relievers_used_last_1_day,30
bullpen_era_diff,29
away_bullpen_pitches_last_3_days,26
bullpen_hr_per_9_diff,25
home_bullpen_ip_last_5_days,24
away_bullpen_ip_last_5_days,23
home_bullpen_ip_last_1_day,23
away_current_win_streak_pre_game,18
relievers_used_last_3_days_diff,18
away_bullpen_pitches_to_date,17
away_games_started_to_date,17
home_games_started_to_date,17
home_bullpen_k_minus_bb_pct_pre_game,16
away_days_rest,16
starter_days_rest_diff,15
away_relievers_used_last_5_days,14
home_bullpen_ip_last_3_days,14
away_bullpen_ip_to_date,13
away_bullpen_ip_last_1_day,13
away_relievers_used_last_3_days,12
home_days_rest,12
home_relievers_used_last_5_days,12
away_bullpen_games_to_date,11
home_bullpen_games_to_date,11
home_last_10_win_pct,10
away_last_10_win_pct,8
home_relievers_used_last_3_days,8
home_unique_relievers_used_last_1_day,6
away_bullpen_source_games_to_date,6
home_unique_relievers_used_last_5_days,5
away_relievers_used_last_1_day,4
away_unique_relievers_used_last_1_day,4
away_unique_relievers_used_last_5_days,4
away_games_played_to_date,2
unique_relievers_used_last_3_days_diff,2
away_rest_days,2
home_bullpen_source_games_to_date,2
home_games_played_to_date,2
home_rest_days,2
home_unique_relievers_used_last_3_days,1
away_unique_relievers_used_last_3_days,0
home_field_flag,0
